dates,oldSurv,newSurv
2013-09-01,0.37334758,0.3707695
2013-09-15,0.303899,0.30837587
2013-09-29,0.3069794,0.30639538
2013-10-13,0.35676378,0.3532348
2013-10-27,0.3191687,0.3224183
2013-11-10,0.29346967,0.2963416
2013-11-24,0.3777504,0.37998348
2013-12-08,0.4836356,0.48427796
2013-12-22,0.30831748,0.30775824
2014-01-05,0.28344643,0.28079435
2014-01-19,0.32658246,0.33295137
2014-02-02,0.32835934,0.31875643
2014-02-16,0.42552564,0.4254913
2014-03-02,0.32019535,0.32868934
2014-03-16,0.4144932,0.4107725
2014-03-30,0.2935521,0.28313583
2014-04-13,0.22304189,0.2248401
2014-04-27,0.21711254,0.21935633
2014-05-11,0.22759645,0.22652866
2014-05-25,0.29659364,0.30274576
2014-06-08,0.24465576,0.2452051
2014-06-22,0.21840051,0.2144168
2014-07-06,0.24596545,0.24902852
2014-07-20,0.26996022,0.27138034
2014-08-03,0.24076107,0.24155806
2014-08-17,0.31115112,0.3101791
2014-08-31,0.26753,0.26699966
2014-09-14,0.2689742,0.27129498
2014-09-28,0.28104877,0.28518525
2014-10-12,0.2817395,0.28069538
2014-10-26,0.2673353,0.26885962
2014-11-09,0.32600856,0.32411596
2014-11-23,0.45990488,0.45739135
2014-12-07,0.61984867,0.6217982
2014-12-21,0.40045434,0.39769557
2015-01-04,0.30526558,0.30201262
2015-01-18,0.50039315,0.5049498
2015-02-01,0.4735058,0.4729809
2015-02-15,0.42125982,0.4392122
2015-03-01,0.4233571,0.4167502
2015-03-15,0.3404066,0.33963037
2015-03-29,0.28822264,0.29119587
2015-04-12,0.33092937,0.3332528
2015-04-26,0.28638119,0.28235722
2015-05-10,0.2617417,0.2522198
2015-05-24,0.22590142,0.22353531
2015-06-07,0.27548373,0.27291626
2015-06-21,0.20936865,0.21053152
2015-07-05,0.32226673,0.32458457
2015-07-19,0.26497602,0.26395604
2015-08-02,0.2198391,0.22529928
2015-08-16,0.2733979,0.27460995
2015-08-30,0.32474473,0.3232348
2015-09-13,0.3462243,0.3416056
2015-09-27,0.2921149,0.29047763
2015-10-11,0.4070611,0.41010332
2015-10-25,0.26876467,0.26520234
2015-11-08,0.26570526,0.2657024
2015-11-22,0.33342022,0.33539194
2015-12-06,0.44417113,0.44813684
2015-12-20,0.42226756,0.42346412
2016-01-03,0.55632305,0.5501246
2016-01-17,0.54934573,0.5551713
2016-01-31,0.3061442,0.30945975
2016-02-14,0.3467585,0.34574535
2016-02-28,0.61294955,0.61253726
2016-03-13,0.6022827,0.60408497
2016-03-27,0.4597044,0.46395594
2016-04-10,0.29752085,0.29478756
2016-04-24,0.46146584,0.4544196
2016-05-08,0.35782322,0.35959342
2016-05-22,0.31093293,0.3219438
2016-06-05,0.20153657,0.2034196
2016-06-19,0.31289884,0.3161825
2016-07-03,0.26902685,0.26202345
2016-07-17,0.40594438,0.40560246
2016-07-31,0.36874604,0.37025777
2016-08-14,0.3600188,0.36277226
2016-08-28,0.3670157,0.366132
2016-09-11,0.33615902,0.33560145
2016-09-25,0.29649207,0.29732487
2016-10-09,0.31970137,0.3182213
2016-10-23,0.30083296,0.29788095
2016-11-06,0.3099842,0.30614403
2016-11-20,0.39506954,0.393937
2016-12-04,0.6318189,0.6305299
2016-12-18,0.50348955,0.50304794
2017-01-01,0.6615392,0.66238755
2017-01-15,0.6223714,0.62362975
2017-01-29,0.6910296,0.69218904
2017-02-12,0.6680431,0.6663471
2017-02-26,0.61827374,0.61867076
2017-03-12,0.5759537,0.5776115
2017-03-26,0.6390855,0.63895714
2017-04-09,0.6809463,0.67940354
2017-04-23,0.5922916,0.5878353
2017-05-07,0.5651687,0.56343645
2017-05-21,0.5474982,0.5495862
2017-06-04,0.49848747,0.49248278
2017-06-18,0.28353676,0.286091
