CLIFTON,FRANKST,WHOLE,ALL_CHAN,ALL_RES,CACHESL_COMPLEX,SACR_DWSC,SUT_STMBT_MIN_ELK,CACHESL_LIBIS,DISAPP_SL,FRANKSTRACT,GLC_OLDR,HOLLANDCUT,HONKER_BAY,LOW_SACR,LOWERSJR,MID_SUISUNBAY,MIDDLE_RIVER,NS_FORKS_MOKER,OLD_RIVER,ROCKSL_DISCBAY,SACR_RIOVISTA,SACR_RYDE,SACR_SHIPCHANNEL,SJR_PRISONERSPT,SJR_STOCKTON,SJR_TWITCHELL_ISLAND,SUISUNMARSH,UPPER_SJR,UPPER_SACR,VICTORIA_CANAL,WEST_SUISUNBAY,MILDRED_ISLAND,OTH_DIV,DEL_SEEP,BBID,DEL_DRAIN,BETHELIS,MILDREDIS,LIBERTYIS,DISCOVERYBAY,datetime
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 17:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 17:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 17:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 17:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 18:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 18:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 18:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 18:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 19:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 19:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 19:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 19:45:00
