VERTCON  Version 2.10
     37.95696535    121.52878095  0.695                        148,0.885        
     37.96068167    121.53172370  0.695                        149,0.245        
     37.96321155    121.53249042  0.695                        149,0.464        
     37.96746885    121.53333523  0.695                        149,0.825        
     37.97313002    121.53783398  0.696                        150,0.352        
     37.97935669    121.53513869  0.695                        150,0.935        
     37.98412345    121.53092066  0.693                        151,0.562        
     37.98877606    121.53031436  0.693                        152,0.309        
     37.99379001    121.52961294  0.692                        152,0.878        
     37.99738784    121.52737002  0.691                        153,0.282        
     37.99954084    121.52382231  0.690                        153,0.669        
     38.00062146    121.51758217  0.689                        154,0.319        
     37.99988555    121.51607984  0.688                        154,0.451        
     38.00010905    121.51246757  0.687                        154,0.796        
     38.00613437    121.50997364  0.688                         155,0.61        
     38.00527089    121.51434397  0.689                        156,0.373        
     38.01001469    121.51683594  0.690                         156,0.92        
     38.01064801    121.51217819  0.689                        157,0.418        
     38.00826675    121.51176893  0.689                        158,0.428        
     38.01334639    121.51833762  0.691                        159,0.252        
     38.01548785    121.51781292  0.692                        159,0.436        
