datetime,CACHE_YOLO,COLUMB_TRNR,DIVERSION_AG,DUT_FAL_FISH,EXPORT_CCF,EXPORT_CVP,EXPORT_IF,EXPORT_SWP,MIDR_MOUTH,OLDR_HEAD,OLDR_MOUTH,PAST_CHIPPS,PAST_MTZ,SAC_TO_3MI,SAC_TO_DCC,SAC_TO_GEO,SAC_TO_STM,SAC_TO_SUT,STMBT_N_TO_S,TO_NBA,TO_SUISUN
27Apr2017  0500,11,0,0,0,0,0,0,0,0,0,3,78,50,2,0,17,22,23,31,0,1
27Apr2017  0600,11,0,0,-1,0,0,0,0,0,0,3,79,50,2,0,17,22,23,31,0,1
27Apr2017  0700,11,0,0,-1,0,0,0,0,0,0,3,80,51,2,0,17,22,23,31,0,1
27Apr2017  0800,11,0,0,-1,0,0,0,0,0,0,3,81,55,2,0,17,22,23,31,0,1
27Apr2017  0900,11,0,0,-1,0,0,0,0,0,0,3,82,60,2,0,17,22,23,31,0,1
27Apr2017  1000,12,0,0,-1,0,0,0,0,0,0,3,83,63,2,0,17,22,23,31,0,1
27Apr2017  1100,12,0,0,-1,0,0,0,0,0,0,3,84,64,2,0,17,22,23,31,0,1
27Apr2017  1200,12,0,0,-1,0,0,0,0,0,0,3,85,64,2,0,17,22,23,31,0,1
27Apr2017  1300,12,0,0,-1,0,0,0,0,0,0,3,85,64,2,0,17,22,23,31,0,1
27Apr2017  1400,12,0,0,-1,0,0,0,0,0,0,3,84,64,2,0,17,22,23,31,0,1
27Apr2017  1500,12,0,0,-1,0,0,0,0,0,0,3,83,64,2,0,17,22,23,31,0,1
27Apr2017  1600,11,0,0,-1,0,0,0,0,0,0,3,83,64,2,0,17,22,23,31,0,1
27Apr2017  1700,11,0,0,-1,0,0,0,0,0,0,3,82,64,2,0,17,22,23,31,0,1
27Apr2017  1800,11,0,0,-1,0,0,0,0,0,0,3,82,64,2,0,17,22,23,31,0,1
27Apr2017  1900,11,0,0,-1,0,0,0,0,0,0,3,83,64,2,0,17,22,23,31,0,1
27Apr2017  2000,11,0,0,-1,0,0,0,0,0,0,3,84,64,2,0,17,22,23,31,0,1
27Apr2017  2100,12,0,0,-1,0,0,0,0,0,0,3,85,64,2,0,17,22,23,31,0,1
27Apr2017  2200,12,0,0,-1,0,0,0,0,0,0,3,85,65,2,0,17,22,23,31,0,1
27Apr2017  2300,12,0,0,-1,0,0,0,0,0,0,3,86,65,2,0,17,22,23,31,0,1
28Apr2017  0000,12,0,0,-1,0,0,0,0,0,0,3,86,65,2,0,17,22,23,31,0,1
28Apr2017  0100,12,0,0,-1,0,0,0,0,0,0,3,85,65,2,0,17,22,23,31,0,1
28Apr2017  0200,12,0,0,-1,0,0,0,0,0,0,3,84,65,2,0,17,22,23,31,0,1
28Apr2017  0300,12,0,0,-1,0,0,0,0,0,0,3,84,65,2,0,17,22,23,31,0,1
28Apr2017  0400,12,0,0,-1,0,0,0,0,0,0,3,83,65,2,0,17,22,23,31,0,1
28Apr2017  0500,12,0,0,-1,0,0,0,0,0,0,3,83,65,2,0,17,22,23,31,0,1
28Apr2017  0600,12,0,0,-1,0,0,0,0,0,0,3,83,65,2,0,17,22,23,31,0,1
28Apr2017  0700,12,0,0,-1,0,0,0,0,0,0,3,84,66,2,0,17,22,23,31,0,1
28Apr2017  0800,12,0,0,-1,0,0,0,0,0,0,3,85,67,2,0,17,22,23,31,0,1
28Apr2017  0900,12,0,0,-1,0,0,0,0,0,0,3,86,69,2,0,17,22,23,31,0,1
28Apr2017  1000,12,0,0,-1,0,0,0,0,0,0,3,87,72,2,0,17,22,23,31,0,1
28Apr2017  1100,12,0,0,-1,0,0,0,0,0,0,3,88,74,2,0,17,22,23,31,0,1
28Apr2017  1200,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1300,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1400,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1500,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
